Symbol,Name,Last,Change,%Change,High,Low,Volume,Time
GWH
TLRY,"Tilray Brands Inc",2.1,0.38,+22.09%,2.32,1.93,302863406,2025-10-09
NVDA,"Nvidia Corp",192.57,3.46,+1.83%,195.3,191.06,182997203,2025-10-09
NUAI,"New Era Energy & Digital Inc",2.83,1.29,+83.77%,3.18,1.55,166766594,2025-10-09
PLUG,"Plug Power Inc",3.78,0.13,+3.42%,3.81,3.35,165753000,2025-10-09
RGTI,"Rigetti Computing Inc",47.11,3.88,+8.98%,48.22,42.89,155458391,2025-10-09
BBAI,"Bigbear.Ai Holdings Inc",7.49,0.2,+2.74%,7.56,7.11,153455300,2025-10-09
NVTS,"Navitas Semiconductor Corp",8,0.26,+3.36%,8.03,7.55,122956594,2025-10-09
LAES,"Sealsq Corp",6.09,1.73,+39.68%,6.11,4.4,120290797,2025-10-09
DNN,"Denison Mines Corp",2.83,-0.03,-1.05%,2.97,2.78,113842800,2025-10-09
BITF,"Bitfarms Ltd",4.17,0.17,+4.25%,4.26,3.94,107644703,2025-10-09
BJDX,"Bluejay Diagnostics Inc",3.28,1.41,+75.40%,4.17,2.62,106537398,2025-10-09
SNAP,"Snap Inc",8.38,-0.05,-0.59%,8.515,8.22,101730500,2025-10-09
AAL,"American Airlines Gp",11.62,-0.19,-1.61%,12.5,11.51,101536203,2025-10-09
PATH,"Uipath Inc Cl A",18.51,2.93,+18.81%,18.74,16.19,99862000,2025-10-09
AMD,"Adv Micro Devices",232.89,-2.67,-1.13%,240.1,229.53,94290711,2025-10-09
OPEN,"Opendoor Technologies Inc",8.14,-0.35,-4.12%,8.7,8.12,93062797,2025-10-09
HIVE,"Hive Digital Technologies Ltd",6.96,0.42,+6.42%,6.99,6.41,36670602,2025-10-09
UUUU,"Energy Fuels Inc",19.7,1.7,+9.44%,20.51,18.51,36664900,2025-10-09
WBD,"Discovery Inc Series A",17.67,-0.22,-1.23%,18.25,17.25,35429699,2025-10-09
VZ,"Verizon Communications Inc",40.83,-0.49,-1.19%,41.36,40.73,34868200,2025-10-09
AG,"First Majestic Silver",13.74,-0.39,-2.76%,14.73,13.48,34527900,2025-10-09
HBAN,"Huntington Bancshares Inc",16.34,0,0.00%,16.51,16.3,34151098,2025-10-09
JBLU,"Jetblue Airways Corp",4.6,-0.14,-2.95%,4.97,4.54,33593898,2025-10-09
NOK,"Nokia Corp ADR",5.18,0.0099999999999998,+0.19%,5.25,5.11,33379000,2025-10-09
